"StoreId","ProductId","StoreName","Address","neighborhood","QuantityAvailable","ProductName","Supplier","ProductCost","SalesId","Date","UnitPrice","Quantity"
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,77770,"2017-03-25",3.115,94
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,35982,"2019-09-08",3.115,79
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,13321,"2020-06-23",3.115,19
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,55466,"2020-02-16",3.115,19
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,42672,"2019-10-23",3.115,75
10002,108,"T.J. Maxx","285 Evergreen Circle","Seton Business Park",12,"Pepper - Green Thai","T.J. Maxx",1.78,72484,"2019-09-22",3.115,71
10002,140,"T.J. Maxx","73083 Darwin Park","Seton Business Park",4,"Wine - Delicato Merlot","T.J. Maxx",1.14,45624,"2018-08-30",1.995,96
10002,140,"T.J. Maxx","73083 Darwin Park","Seton Business Park",4,"Wine - Delicato Merlot","T.J. Maxx",1.14,26656,"2019-10-27",1.995,37
10002,140,"T.J. Maxx","73083 Darwin Park","Seton Business Park",4,"Wine - Delicato Merlot","T.J. Maxx",1.14,15797,"2019-12-06",1.995,9
10002,140,"T.J. Maxx","73083 Darwin Park","Seton Business Park",4,"Wine - Delicato Merlot","T.J. Maxx",1.14,56938,"2020-03-11",1.995,4
10002,178,"T.J. Maxx","0124 Kingsford Hill","Seton Business Park",1,"Cheese - Brie,danish","T.J. Maxx",5.64,72107,"2019-05-12",9.87,19
10002,178,"T.J. Maxx","0124 Kingsford Hill","Seton Business Park",1,"Cheese - Brie,danish","T.J. Maxx",5.64,53696,"2018-08-21",9.87,66
